rank,name,team,role,IP,GS,SV,K,ERA,PROJ
1,Garrett Crochet,BOS,SP,205.33333333333331,32,0,255,2.586038961038961,647.0
2,Tarik Skubal,DET,SP,195.33333333333331,31,0,241,2.21160409556314,603.0
3,Paul Skenes,PIT,SP,187.66666666666663,32,0,216,1.9662522202486683,535.0
4,Cristopher Sánchez,PHI,SP,202.0,32,0,212,2.495049504950495,524.0
5,Logan Webb,SF,SP,207.0,34,0,224,3.217391304347826,522.0
6,Freddy Peralta,MIL,SP,176.66666666666663,33,0,204,2.7000000000000006,520.0
7,Hunter Brown,HOU,SP,185.33333333333331,31,0,206,2.428057553956835,503.0
8,Carlos Rodón,NYY,SP,195.33333333333331,33,0,203,3.08703071672355,500.0
9,Max Fried,NYY,SP,195.33333333333331,32,0,189,2.856655290102389,498.0
10,Bryan Woo,SEA,SP,186.66666666666663,30,0,198,2.941071428571429,487.0
11,Yoshinobu Yamamoto,LAD,SP,173.66666666666663,30,0,201,2.4875239923224575,481.0
12,Jesús Luzardo,PHI,SP,183.66666666666663,32,0,216,3.9201451905626143,475.0
13,Zack Wheeler,PHI,SP,149.66666666666663,24,0,195,2.706013363028954,463.0
14,Nick Pivetta,SD,SP,181.66666666666663,31,0,190,2.8733944954128448,455.0
15,Joe Ryan,MIN,SP,171.0,30,0,194,3.4210526315789473,450.0
16,Sonny Gray,STL,SP,180.66666666666663,32,0,201,4.2841328413284145,444.0
17,Jacob deGrom,TEX,SP,172.66666666666663,30,0,185,2.971042471042472,441.0
18,Framber Valdez,HOU,SP,192.0,31,0,187,3.65625,422.0
19,Kevin Gausman,TOR,SP,193.0,32,0,189,3.5906735751295336,410.0
20,Robbie Ray,SF,SP,182.33333333333331,32,0,186,3.652650822669105,400.0
21,Andrés Muñoz,SEA,CLOSER,62.333333333333336,0,38,83,1.732620320855615,396.0
22,Gavin Williams,CLE,SP,167.66666666666663,31,0,173,3.0596421471172968,395.0
23,Edwin Díaz,NYM,CLOSER,66.33333333333331,0,28,98,1.6281407035175883,394.0
24,Aroldis Chapman,BOS,CLOSER,61.333333333333336,0,32,85,1.1739130434782608,394.0
25,Dylan Cease,SD,SP,168.0,32,0,215,4.553571428571429,390.0
26,Robert Suarez,SD,CLOSER,69.66666666666667,0,40,75,2.9712918660287078,385.0
27,Jhoan Duran,PHI,CLOSER,70.0,0,32,80,2.057142857142857,384.0
28,Matthew Boyd,CHC,SP,179.66666666666663,31,0,154,3.2059369202226353,383.0
29,Nathan Eovaldi,TEX,SP,130.0,22,0,129,1.7307692307692308,380.0
30,Merrill Kelly,TEX,SP,184.0,32,0,167,3.5217391304347827,377.0
31,Nick Lodolo,CIN,SP,156.66666666666663,28,0,156,3.331914893617022,376.0
32,Jeff Hoffman,TOR,CLOSER,68.0,0,33,84,4.367647058823529,376.0
33,Chris Sale,ATL,SP,125.66666666666667,20,0,165,2.5782493368700266,373.0
34,Andrew Abbott,CIN,SP,166.33333333333331,29,0,149,2.8677354709418843,369.0
35,Logan Gilbert,SEA,SP,131.0,25,0,173,3.435114503816794,365.0
36,Brady Singer,CIN,SP,169.66666666666663,32,0,163,4.0314341846758355,363.0
37,Carlos Estévez,KC,CLOSER,66.0,0,42,54,2.4545454545454546,362.0
38,Ranger Suarez,PHI,SP,157.33333333333331,26,0,151,3.203389830508475,362.0
39,Luis Castillo,SEA,SP,180.66666666666663,32,0,162,3.536900369003691,361.0
40,Chris Bassitt,TOR,SP,170.33333333333331,31,0,166,3.962818003913895,360.0
41,David Bednar,NYY,CLOSER,62.66666666666668,0,27,86,2.2978723404255317,356.0
42,Ryan Pepiot,TB,SP,167.66666666666663,31,0,167,3.864811133200796,354.0
43,Tanner Bibee,CLE,SP,182.33333333333331,31,0,162,4.244972577696527,351.0
44,Jack Flaherty,DET,SP,161.0,31,0,188,4.6397515527950315,341.0
45,Casey Mize,DET,SP,149.0,28,0,139,3.865771812080537,339.0
46,Emilio Pagán,CIN,CLOSER,68.66666666666667,0,32,81,2.8834951456310676,332.0
47,Cade Smith,CLE,CLOSER,73.66666666666667,0,16,104,2.932126696832579,329.0
48,MacKenzie Gore,WSH,SP,159.66666666666663,30,0,185,4.171189979123175,329.0
49,Drew Rasmussen,TB,SP,150.0,31,0,127,2.76,328.0
50,Will Warren,NYY,SP,162.33333333333331,33,0,171,4.435318275154005,324.0
51,Hunter Greene,CIN,SP,107.66666666666667,19,0,132,2.7585139318885448,323.0
52,Edward Cabrera,MIA,SP,137.66666666666663,26,0,150,3.5302663438256667,323.0
53,Yusei Kikuchi,LAA,SP,178.33333333333331,33,0,174,3.9869158878504676,321.0
54,Zac Gallen,AZ,SP,192.0,33,0,175,4.828125,321.0
55,Quinn Priester,MIL,SP,157.33333333333331,24,0,132,3.317796610169492,318.0
56,Shane Baz,TB,SP,166.33333333333331,31,0,176,4.869739478957916,316.0
57,Mason Miller,SD,CLOSER,61.66666666666668,0,22,104,2.6270270270270264,313.0
58,Raisel Iglesias,ATL,CLOSER,67.33333333333331,0,29,73,3.207920792079209,313.0
59,Jack Leiter,TEX,SP,151.66666666666663,29,0,148,3.857142857142858,311.0
60,Clay Holmes,NYM,SP,165.66666666666663,31,0,129,3.5311871227364193,299.0
61,George Kirby,SEA,SP,126.0,23,0,137,4.214285714285714,298.0
62,Will Vest,DET,CLOSER,68.66666666666667,0,23,75,3.0145631067961163,296.0
63,David Peterson,NYM,SP,168.66666666666663,30,0,150,4.215415019762847,296.0
64,Trevor Rogers,BAL,SP,109.66666666666667,18,0,103,1.8054711246200608,296.0
65,Brayan Bello,BOS,SP,166.66666666666663,28,0,124,3.3480000000000008,295.0
66,Shane Smith,CWS,SP,146.33333333333331,29,0,145,3.813211845102506,290.0
67,Zack Littell,CIN,SP,186.66666666666663,32,0,130,3.8089285714285723,290.0
68,Dean Kremer,BAL,SP,171.66666666666663,29,0,142,4.194174757281554,289.0
69,José Soriano,LAA,SP,169.0,31,0,152,4.260355029585799,287.0
70,Jeffrey Springs,OAK,SP,171.0,30,0,138,4.105263157894737,284.0
71,Kris Bubic,KC,SP,116.33333333333331,20,0,116,2.553008595988539,283.0
72,Colin Rea,CHC,SP,159.33333333333331,27,1,127,3.95397489539749,281.0
73,Pete Fairbanks,TB,CLOSER,60.333333333333336,0,27,59,2.8342541436464086,280.0
74,Ryne Nelson,AZ,SP,154.0,23,1,132,3.3896103896103895,278.0
75,Lucas Giolito,BOS,SP,145.0,26,0,121,3.413793103448276,276.0
76,Cade Horton,CHC,SP,118.0,22,0,97,2.669491525423729,273.0
77,Noah Cameron,KC,SP,138.33333333333331,24,0,114,2.99277108433735,273.0
78,Brandon Pfaadt,AZ,SP,176.66666666666663,33,0,147,5.247169811320756,271.0
79,Michael Wacha,KC,SP,172.66666666666663,31,0,126,3.857142857142858,269.0
80,José Berríos,TOR,SP,166.0,30,0,138,4.174698795180723,267.0
81,Mitch Keller,PIT,SP,176.33333333333331,32,0,150,4.185255198487713,266.0
82,Ronny Henriquez,MIA,RP,73.0,0,7,98,2.219178082191781,263.0
83,Shota Imanaga,CHC,SP,144.66666666666663,25,0,117,3.7327188940092175,262.0
84,Spencer Schwellenbach,ATL,SP,110.66666666666667,17,0,108,3.0903614457831323,261.0
85,Devin Williams,NYY,CLOSER,62.0,0,18,90,4.790322580645161,257.0
86,Eric Lauer,TOR,SP,104.66666666666667,15,0,102,3.1815286624203822,248.0
87,Justin Verlander,SF,SP,152.0,29,0,137,3.848684210526316,248.0
88,Patrick Corbin,TEX,SP,155.33333333333331,30,0,131,4.40343347639485,246.0
89,Kodai Senga,NYM,SP,113.33333333333331,22,0,109,3.01764705882353,246.0
90,Jameson Taillon,CHC,SP,129.66666666666663,23,0,98,3.678663239074551,246.0
