batter_name,team,n_games_prior,fp_per_g_prior,fp_g_pred,delta
Ke'Bryan Hayes,Reds,30,1.95,3.6692468020449143,-1.7192468020449143
Bo Naylor,Guardians,26,1.6730769230769231,3.266280795325737,-1.5932038722488138
Tyler Stephenson,Reds,31,2.6129032258064515,4.152566893388067,-1.5396636675816153
Ronald Acuña Jr.,Braves,33,4.666666666666667,6.121402543422751,-1.454735876756084
Luisangel Acuña,White Sox,27,2.2777777777777777,3.6316874559005674,-1.3539096781227897
Francisco Alvarez,Mets,34,3.2941176470588234,4.484569022102455,-1.1904513750436312
Wenceel Pérez,Tigers,25,2.76,3.7863742837577776,-1.0263742837577778
Ezequiel Tovar,Rockies,37,2.9054054054054053,3.879685740046246,-0.9742803346408406
Bo Bichette,Mets,39,3.871794871794872,4.781069002591313,-0.9092741307964416
Patrick Bailey,Guardians,28,1.9821428571428572,2.8652293000473064,-0.8830864429044492
Jake Cronenworth,Padres,30,2.55,3.402204045848068,-0.852204045848068
Edgar Quero,White Sox,25,2.1,2.9278479535164346,-0.8278479535164345
TJ Friedl,Reds,35,3.3142857142857145,4.116158795902217,-0.8018730816165021
Alex Bregman,Cubs,39,4.205128205128205,4.9953818787574145,-0.7902536736292092
Josh Smith,Rangers,29,2.6206896551724137,3.4061066234420965,-0.7854169682696828
Marcelo Mayer,Red Sox,33,2.984848484848485,3.758389240269712,-0.773540755421227
Fernando Tatis Jr.,Padres,37,4.297297297297297,5.062890972271519,-0.7655936749742214
Matt McLain,Reds,38,3.9078947368421053,4.670213299713523,-0.7623185628714175
Luis Rengifo,Brewers,32,3.046875,3.8040448979223394,-0.7571698979223394
Spencer Steer,Reds,38,3.960526315789474,4.676925864720396,-0.7163995489309225
Roman Anthony,Red Sox,29,3.8620689655172415,4.572043896674402,-0.7099749311571606
Lawrence Butler,Athletics,36,3.388888888888889,4.080552220832472,-0.6916633319435834
Nick Fortes,Rays,31,2.870967741935484,3.556547549643086,-0.6855798077076019
Salvador Perez,Royals,38,3.6578947368421053,4.3244296775243525,-0.6665349406822472
Jac Caglianone,Royals,36,3.5833333333333335,4.241297246356507,-0.6579639130231736
Victor Caratini,Twins,29,2.9655172413793105,3.6195873332843247,-0.6540700919050142
Marcus Semien,Mets,39,3.628205128205128,4.251786978977184,-0.6235818507720556
Royce Lewis,Twins,25,3.54,4.162530864021007,-0.622530864021007
Dane Myers,Reds,26,2.519230769230769,3.1171501935908976,-0.5979194243601285
Matt Wallner,Twins,32,3.265625,3.8459471168979134,-0.5803221168979134
Colton Cowser,Orioles,30,1.9333333333333333,2.4860391305839995,-0.5527057972506662
Adolis García,Phillies,39,3.9358974358974357,4.485017558545054,-0.5491201226476181
Vinnie Pasquantino,Royals,38,4.105263157894737,4.64775144611755,-0.5424882882228133
Max Muncy,Athletics,25,4.18,4.687048330685394,-0.5070483306853939
Caleb Durbin,Red Sox,36,3.388888888888889,3.874665124495217,-0.4857762356063282
Mike Yastrzemski,Braves,36,2.638888888888889,3.1206134004019885,-0.4817245115130997
Bryson Stott,Phillies,34,3.8970588235294117,4.373538033948868,-0.47647921041945596
Alec Bohm,Phillies,36,3.3472222222222223,3.820293050494368,-0.47307082827214586
Kody Clemens,Twins,28,3.517857142857143,3.988591305477473,-0.4707341626203303
Trevor Story,Red Sox,37,3.891891891891892,4.326066754016643,-0.43417486212475076
Sal Frelick,Brewers,35,3.5285714285714285,3.962296942418754,-0.4337255138473255
Spencer Torkelson,Tigers,38,3.8947368421052633,4.308499019008733,-0.4137621769034694
Colt Keith,Tigers,34,3.3823529411764706,3.7866726136363473,-0.40431967245987677
Marcell Ozuna,Pirates,33,3.6818181818181817,4.077339318337715,-0.395521136519533
Tyler Soderstrom,Athletics,37,4.797297297297297,5.1767174906202,-0.3794201933229022
Lane Thomas,Royals,29,2.6551724137931036,3.0295044289770514,-0.37433201518394776
Jarren Duran,Red Sox,34,4.720588235294118,5.085187178039608,-0.36459894274549054
Will Benson,Reds,30,2.35,2.713063657064194,-0.3630636570641941
Brett Baty,Mets,35,3.414285714285714,3.7760419975775976,-0.3617562832918835
Joey Ortiz,Brewers,26,3.1923076923076925,3.553822729968343,-0.3615150376606504
Jordan Beck,Rockies,26,2.6923076923076925,3.0441841446655618,-0.35187645235786924
Mark Vientos,Mets,31,3.9838709677419355,4.32628696955888,-0.3424160018169444
Michael Harris II,Braves,37,4.891891891891892,5.223700417418834,-0.3318085255269416
Trea Turner,Phillies,39,4.589743589743589,4.902484220511824,-0.3127406307682348
Bobby Witt Jr.,Royals,40,5.75,6.051256384568926,-0.30125638456892556
Leo Rivas,Mariners,31,2.2419354838709675,2.5393965212455356,-0.2974610373745681
Carson Benge,Mets,35,3.6,3.894570305287357,-0.29457030528735695
Gleyber Torres,Tigers,30,4.1,4.394501749934332,-0.29450174993433276
Danny Jansen,Rangers,26,2.9615384615384617,3.2487539391841365,-0.2872154776456748
Dillon Dingler,Tigers,33,4.757575757575758,5.038901599239401,-0.2813258416636435
Tyrone Taylor,Mets,27,2.314814814814815,2.5886306172085263,-0.2738158023937114
Pete Crow-Armstrong,Cubs,40,4.875,5.141881301500429,-0.26688130150042877
Lenyn Sosa,Blue Jays,27,2.8518518518518516,3.1043460114914785,-0.25249415963962685
Willson Contreras,Red Sox,37,5.202702702702703,5.450112582473223,-0.24740987977052065
Connor Norby,Marlins,36,3.4305555555555554,3.651489054851907,-0.22093349929635142
Matt Vierling,Tigers,26,3.576923076923077,3.795776230532053,-0.21885315360897595
David Hamilton,Brewers,29,3.6724137931034484,3.8692808521142927,-0.19686705901084434
Victor Scott II,Cardinals,32,2.78125,2.967189445137495,-0.18593944513749516
Kyle Karros,Rockies,38,3.3157894736842106,3.4988009890896175,-0.18301151540540683
Alek Thomas,D-backs,27,3.6296296296296298,3.8109174070134513,-0.1812877773838215
Michael Busch,Cubs,39,4.730769230769231,4.907477293968424,-0.17670806319919308
Jakob Marsee,Marlins,39,4.243589743589744,4.4105783662189255,-0.1669886226291819
Maikel Garcia,Royals,38,4.894736842105263,5.059784683896525,-0.16504784179126197
Brenton Doyle,Rockies,32,3.078125,3.2337913909611222,-0.15566639096112223
Kerry Carpenter,Tigers,35,3.2857142857142856,3.437047321147097,-0.1513330354328115
Carson Kelly,Cubs,29,4.379310344827586,4.514628583480184,-0.13531823865259796
Andrew Benintendi,White Sox,35,3.557142857142857,3.657449019444731,-0.10030616230187395
Jeff McNeil,Athletics,36,3.5694444444444446,3.663821481184585,-0.09437703674014042
Alex Freeland,Dodgers,32,3.109375,3.1956179462912973,-0.08624294629129725
Jackson Merrill,Padres,37,4.891891891891892,4.956608351841989,-0.06471645995009645
Josh Bell,Twins,38,4.118421052631579,4.1764781599604985,-0.05805710732891978
Michael Massey,Royals,25,3.76,3.810934545478877,-0.05093454547887699
Austin Riley,Braves,40,4.6,4.6458858352102625,-0.045885835210262904
Edouard Julien,Rockies,33,4.015151515151516,4.053618109370086,-0.038466594218570016
Gary Sánchez,Brewers,26,4.384615384615385,4.411429754525233,-0.026814369909847535
Ramón Laureano,Padres,36,4.652777777777778,4.673779129062681,-0.021001351284903436
Wilyer Abreu,Red Sox,38,5.328947368421052,5.3498802300878845,-0.02093286166683228
Jorbit Vivas,Nationals,29,2.3793103448275863,2.394458943862783,-0.015148599035196497
Samuel Basallo,Orioles,32,4.453125,4.448940054057469,0.004184945942530938
TJ Rumfield,Rockies,39,4.576923076923077,4.566584817992701,0.010338258930375765
JJ Wetherholt,Cardinals,38,5.355263157894737,5.340861405306856,0.014401752587881234
Daylen Lile,Nationals,39,4.641025641025641,4.6228374500017155,0.01818819102392588
Luke Keaschall,Twins,39,4.3076923076923075,4.276386616461571,0.03130569123073634
Kevin McGonigle,Tigers,37,5.5,5.465894288311195,0.03410571168880505
Brady House,Nationals,35,4.557142857142857,4.514204043032593,0.04293881411026401
Gavin Sheets,Padres,34,3.6911764705882355,3.646589663168684,0.044586807419551455
Kyle Schwarber,Phillies,40,5.75,5.703313470579443,0.0466865294205574
Sal Stewart,Reds,40,5.975,5.920990954952006,0.05400904504799353
Carter Jensen,Royals,36,4.055555555555555,3.992458206757582,0.06309734879797357
Dylan Beavers,Orioles,32,3.828125,3.752187586298086,0.0759374137019142
Luis García Jr.,Nationals,35,3.8142857142857145,3.727144659850164,0.08714105443555065
Iván Herrera,Cardinals,38,5.026315789473684,4.934692506533977,0.09162328293970745
Ceddanne Rafaela,Red Sox,36,4.347222222222222,4.2450203010790455,0.10220192114317683
Nick Kurtz,Athletics,38,5.776315789473684,5.66595146197582,0.11036432749786407
Justin Crawford,Phillies,35,3.657142857142857,3.5404877910032644,0.11665506613959264
Carlos Cortes,Athletics,31,4.403225806451613,4.276757259248645,0.1264685472029683
Chase Meidroth,White Sox,37,4.283783783783784,4.155220027178889,0.12856375660489494
Jacob Young,Nationals,36,3.888888888888889,3.746222620965786,0.142666267923103
Isaac Collins,Royals,32,4.203125,4.052773868345326,0.1503511316546744
Curtis Mead,Nationals,30,4.283333333333333,4.13244876435236,0.15088456898097302
Dansby Swanson,Cubs,39,4.9743589743589745,4.813258396301362,0.1611005780576127
