feature,n,pearson_r,pearson_p,spearman_r,spearman_p
fp_per_g_prior,64926,0.17013444499984415,0.0,0.1743725182012483,0.0
pa_per_g_prior,64926,0.16133762490926246,0.0,0.17806413333530116,0.0
xwoba_prior,64926,0.13648133366671356,1.8915516303898212e-267,0.1300235905738516,9.994715369778868e-243
hard_hit_pct_prior,64926,0.10654607067733272,3.236669503443826e-163,0.09335499188854046,1.3166532633693974e-125
barrel_pct_prior,64926,0.10488001740467555,3.459833053615384e-158,0.08098923753433984,6.439465747452889e-95
hr_per_pa_prior,64926,0.10428606428579264,2.0528389969043252e-156,0.08617613062066319,2.9643508867242295e-107
sb_per_g_prior,64926,0.05127032285143638,4.7396494715990314e-39,0.05543114304370586,2.3188144803580253e-45
own_team_xwoba_prior,64905,0.03648669184988581,1.4252905527172437e-20,0.02963793866708709,4.2793047002113176e-14
bb_pct_prior,64926,0.03505888097006442,4.0431097401413312e-19,0.03324408912475184,2.3922305744513367e-17
park_factor,64926,0.034877553696239044,6.136432691480916e-19,0.021050344675401126,8.129024173065071e-08
sweet_spot_pct_prior,64926,0.03083447245023039,3.886991778966854e-15,0.03152347407890261,9.418669012649722e-16
k_pct_prior,64926,-0.026975848176754275,6.211111996125804e-12,-0.04297932032709388,6.202851815427574e-28
fb_pct_prior,64926,0.026739273778631313,9.465179695438971e-12,0.011194948681495969,0.004336693117040639
is_home,64926,-0.00441736820113899,0.2603539687014682,-0.00029070139311608404,0.9409539072604095
