n,rmse,r2,mae,features
2868,9.909114830084388,0.0639662154398849,8.093410879169957,xfip_prior + whiff_pct_prior
2868,9.910138116105234,0.0637728823804935,8.091334445776049,k_pct_prior + whip_prior
2868,9.911704530752239,0.0634768954319378,8.092201396600622,k_pct_prior + siera_prior
2868,9.912665351647567,0.06329531726262383,8.10071182995837,k_pct_prior + xwoba_against_prior
2868,9.913458544228961,0.06314540461952389,8.092015160219251,k_pct_prior + xfip_prior
2868,9.917305173282081,0.062418225250036485,8.102390721490638,whiff_pct_prior + siera_prior
2868,9.917456572666042,0.06238959844383418,8.10269083601249,k_bb_pct_prior + whiff_pct_prior
2868,9.917548235123023,0.0623722665665255,8.113755924160989,k_pct_prior + whiff_pct_prior
2868,9.918927505539635,0.06211144966059967,8.108339415042142,k_pct_prior + csw_pct_prior
2868,9.923758240092049,0.061197682744448256,8.104912097568892,k_pct_prior + k_bb_pct_prior
2868,9.938814280422955,0.05834687409962014,8.10954336223135,k_bb_pct_prior + csw_pct_prior
2868,9.939655868436402,0.05818739480686641,8.10975490697413,xfip_prior + csw_pct_prior
2868,9.939868910060536,0.05814702169134589,8.130955361194921,whiff_pct_prior + whip_prior
2868,9.941173102654378,0.05789984775470092,8.112291263952836,xfip_prior + xwoba_against_prior
2868,9.941671210389218,0.05780543653694492,8.115942000660763,k_bb_pct_prior + xwoba_against_prior
2868,9.942710192276628,0.0576084929411107,8.140833571264723,whiff_pct_prior + xwoba_against_prior
2868,9.946142078604598,0.05695781749531614,8.110940143764513,xfip_prior + whip_prior
2868,9.94664151941881,0.05686310628425428,8.114485044956847,k_bb_pct_prior + xfip_prior
2868,9.94846836569359,0.056516632684798784,8.116269881857464,k_bb_pct_prior + whip_prior
2868,9.950591127365382,0.056113956829601075,8.121353329224736,k_bb_pct_prior + siera_prior
2868,9.956955821039887,0.05490609555708126,8.124068838417584,xfip_prior + siera_prior
2868,9.960964443811392,0.05414496180582751,8.131296702824029,siera_prior + csw_pct_prior
2868,9.965143043856067,0.05335122763928657,8.139523251940805,siera_prior + xwoba_against_prior
2868,9.973107156487368,0.0518375052426826,8.140753375637768,siera_prior + whip_prior
2868,9.974589770050425,0.051555574437469276,8.167689210474098,whiff_pct_prior + csw_pct_prior
2868,9.976233480242017,0.05124296083523494,8.16057609855214,csw_pct_prior + xwoba_against_prior
2868,9.99199778462091,0.04824216663802927,8.162224097423715,csw_pct_prior + whip_prior
2868,10.033432488532263,0.04033232301185552,8.20062915849787,xwoba_against_prior + whip_prior
