pitcher_id,pitcher_name,n,fp_actual,fp_pred,delta
641793,Littell,3,-6.833333333333333,4.7854203834461755,-11.618753716779509
645261,"Alcantara, S",6,2.2216666666666667,12.078565936003761,-9.856899269337095
669022,Gore,4,2.125,11.89263895298286,-9.76763895298286
691725,Painter,3,0.89,9.77412030161212,-8.88412030161212
680573,Woods Richardson,5,-4.434,4.379046666806928,-8.813046666806928
622491,"Castillo, L",3,-0.08333333333333333,8.205221239564397,-8.28855457289773
607536,"Freeland, K",3,-0.13999999999999999,7.998936882972143,-8.138936882972143
605288,Houser,4,-2.2275,5.749636067647273,-7.977136067647273
641778,Lauer,4,-1.085,6.697461491513774,-7.782461491513774
592332,Gausman,5,7.368,14.491598598212525,-7.123598598212524
676282,Cantillo,4,3.9175,10.884399807567217,-6.966899807567216
656550,"Holmes, G",4,3.855,9.998991258312508,-6.143991258312507
605400,"Nola, A",5,5.534000000000001,11.068601053242066,-5.534601053242065
663978,Paddack,3,2.78,8.20058884936411,-5.42058884936411
683004,Leiter,4,6.7725,12.097462061105206,-5.324962061105206
605488,Springs,4,6.539999999999999,11.748805182322267,-5.208805182322267
607200,Fedde,4,1.8775,6.958533251018654,-5.081033251018654
686799,Kochanowicz,5,3.6340000000000003,8.321643642635763,-4.687643642635763
669358,Baz,5,4.018,8.669467881817626,-4.651467881817626
663460,Bubic,5,7.018000000000001,11.528589760432686,-4.510589760432685
677944,Cecconi,5,2.966,7.372288797974003,-4.406288797974002
547179,Lorenzen,3,2.776666666666667,7.032320266810088,-4.255653600143422
571927,Matz,3,6.859999999999999,10.683015006480652,-3.8230150064806523
621111,Buehler,3,6.5,10.2602101702252,-3.7602101702252
666200,Luzardo,4,13.3325,16.633117258261237,-3.300617258261237
621121,McCullers Jr.,3,5.833333333333333,9.028277482146052,-3.194944148812719
663623,"Irvin, J",5,5.684,8.780240752197757,-3.0962407521977573
696149,Chandler,5,4.35,7.408221698429702,-3.058221698429702
808963,Sasaki,3,4.806666666666667,7.825002111873321,-3.018335445206654
668678,Gallen,3,1.5566666666666666,4.513630670967536,-2.956964004300869
642547,"Peralta, F",5,9.718,12.649731334538806,-2.9317313345388065
608372,Sugano,5,2.366,5.268577467029202,-2.9025774670292015
702070,Cameron,4,4.227499999999999,7.009571226754197,-2.782071226754198
680694,Bradish,5,6.866,9.58253935910771,-2.71653935910771
571578,Corbin,3,5.11,7.419729700874844,-2.3097297008748434
691587,"Pérez, Eu",5,7.465999999999999,9.757575711633443,-2.2915757116334436
