feature,n_pitchers,yoy_pearson_r,p
gb_pct_prior,57,0.7955979785096255,1.4251787813509858e-13
whiff_pct_prior,57,0.7457398024314532,2.8242326508921265e-11
siera_prior,57,0.7234710628998953,2.054234646316456e-10
k_pct_prior,57,0.7096959876782025,6.385889249487954e-10
xfip_prior,57,0.6935256852847194,2.2307770769320837e-09
k_bb_pct_prior,57,0.6864924324688343,3.7485537056518896e-09
fb_pct_prior,57,0.6266776058697721,1.8396960601142706e-07
csw_pct_prior,57,0.6218383453991987,2.432653947770425e-07
xwoba_against_prior,57,0.6167371278238832,3.2491759793683394e-07
bb_pct_prior,57,0.5902355504826722,1.3501197646301956e-06
hard_hit_pct_prior,57,0.5197711916840062,3.4202788449926376e-05
barrel_pct_prior,57,0.4626484437189284,0.00029068127974269715
own_team_xwoba_prior,57,0.4605903890133969,0.0003118477453260009
whip_prior,57,0.44735419051058173,0.00048499767213742697
hr_per_9_prior,57,0.4404259969201712,0.0006068513491336827
era_prior,57,0.3165513225712119,0.01643941738636853
wins_prior,57,0.25085399162002536,0.059813613028272296
ip_per_start_prior,57,0.20805851057359806,0.12040965666906273
park_factor,57,0.1765189988420865,0.1890126654373022
days_of_rest,57,0.06564905721443769,0.627546701952679
is_home,57,-0.05438850745724472,0.687813069762612
opp_xwoba_prior,57,-0.09445300801927053,0.4846327586245506
prior_pitches,57,-0.21725636827512035,0.10451124345216015
